Fiscal Year,Total Revenues,Social Security,Medicare,"Medicaid, CHIP, and Marketplace Subsidiesb",Other,Total Noninterest Spending,Net Interest,Total Spending,Revenues Minus Total Noninterest Spending,Revenues Minus Total Spending,Debt Held by the Public,Medicare Offsetting Receipts
2019,0.181,0.051,0.032,0.024,0.087,0.194,0.016,0.21,-0.013,-0.029,0.78,-0.007
2020,0.181,0.052,0.033,0.025,0.085,0.196,0.018,0.213,-0.014,-0.032,0.79,-0.007
2021,0.181,0.054,0.034,0.025,0.084,0.198,0.02,0.217,-0.016,-0.036,0.8,-0.007
2022,0.181,0.055,0.037,0.026,0.084,0.202,0.021,0.223,-0.02,-0.042,0.81,-0.007
2023,0.181,0.056,0.036,0.026,0.082,0.2,0.023,0.223,-0.019,-0.042,0.83,-0.007
2024,0.182,0.057,0.036,0.026,0.079,0.199,0.024,0.223,-0.017,-0.041,0.84,-0.008
2025,0.182,0.058,0.038,0.027,0.079,0.202,0.025,0.228,-0.02,-0.045,0.85,-0.008
2026,0.183,0.059,0.04,0.027,0.079,0.205,0.027,0.231,-0.022,-0.048,0.87,-0.008
2027,0.184,0.06,0.042,0.027,0.078,0.207,0.027,0.234,-0.023,-0.05,0.89,-0.008
2028,0.185,0.061,0.042,0.027,0.077,0.208,0.028,0.236,-0.023,-0.051,0.91,-0.009
2029,0.185,0.061,0.043,0.028,0.077,0.209,0.029,0.239,-0.024,-0.053,0.93,-0.009
2030,0.186,0.062,0.045,0.028,0.077,0.211,0.03,0.242,-0.025,-0.056,0.95,-0.009
2031,0.187,0.062,0.046,0.028,0.077,0.213,0.032,0.245,-0.027,-0.058,0.97,-0.01
2032,0.187,0.063,0.047,0.028,0.077,0.215,0.033,0.247,-0.028,-0.06,0.99,-0.01
2033,0.188,0.063,0.048,0.028,0.077,0.216,0.034,0.25,-0.028,-0.063,1.02,-0.01
2034,0.188,0.063,0.049,0.029,0.077,0.218,0.036,0.253,-0.029,-0.065,1.05,-0.01
2035,0.189,0.064,0.05,0.029,0.077,0.219,0.037,0.257,-0.031,-0.068,1.07,-0.011
2036,0.19,0.064,0.051,0.029,0.077,0.221,0.039,0.26,-0.031,-0.07,1.1,-0.011
2037,0.19,0.064,0.053,0.029,0.076,0.222,0.04,0.263,-0.032,-0.073,1.13,-0.011
2038,0.191,0.064,0.054,0.03,0.076,0.224,0.042,0.266,-0.033,-0.075,1.16,-0.012
2039,0.191,0.064,0.055,0.03,0.076,0.225,0.044,0.269,-0.034,-0.078,1.2,-0.012
2040,0.192,0.064,0.055,0.03,0.076,0.226,0.046,0.272,-0.034,-0.08,1.23,-0.012
2041,0.192,0.064,0.056,0.03,0.076,0.227,0.048,0.275,-0.035,-0.083,1.27,-0.012
2042,0.193,0.064,0.057,0.031,0.076,0.228,0.05,0.278,-0.035,-0.085,1.3,-0.012
2043,0.194,0.064,0.058,0.031,0.076,0.229,0.052,0.281,-0.035,-0.087,1.34,-0.013
2044,0.194,0.064,0.058,0.031,0.076,0.23,0.055,0.284,-0.036,-0.09,1.38,-0.013
2045,0.195,0.064,0.059,0.031,0.076,0.23,0.057,0.287,-0.036,-0.093,1.42,-0.013
2046,0.195,0.064,0.06,0.032,0.076,0.231,0.06,0.291,-0.036,-0.096,1.46,-0.013
2047,0.196,0.063,0.061,0.032,0.076,0.232,0.062,0.294,-0.036,-0.098,1.5,-0.013
