Year,Debt Held by the Public,Total Spending,Total Revenues,Social Security,Federal Spending on Major Health Care Programsa,Other Noninterest Spending,Net Interest
2000,34,17.6,20,4,3.1,8.3,2.2
2001,31,17.6,18.8,4.1,3.3,8.3,2
2002,33,18.5,17,4.2,3.5,9.3,1.6
2003,35,19.1,15.7,4.2,3.6,9.9,1.4
2004,36,19,15.6,4.1,3.7,9.9,1.3
2005,36,19.2,16.7,4,3.7,10,1.4
2006,35,19.4,17.6,4,3.7,10,1.7
2007,35,19.1,17.9,4.1,4,9.4,1.7
2008,39,20.2,17.1,4.1,4,10.3,1.7
2009,52,24.4,14.6,4.7,4.7,13.7,1.3
2010,61,23.4,14.6,4.7,4.9,12.4,1.3
2011,66,23.4,15,4.7,5,12.3,1.5
2012,70,22.1,15.3,4.8,4.5,11.4,1.4
2013,73,20.9,16.8,4.9,4.6,10,1.3
2014,74,20.3,17.5,4.9,4.8,9.3,1.3
2015,73,20.5,18.1,4.9,5.2,9.2,1.2
2016,77,20.9,17.7,4.9,5.5,9.1,1.3
2017,76,20.8,17.3,4.9,5.4,9.1,1.4
2018,78,20.6,16.6,4.9,5.2,8.9,1.6
2019,79,21.1,16.5,4.9,5.3,9.1,1.8
2020,81,21.3,16.7,5,5.3,8.7,2.2
2021,83,21.6,16.7,5.2,5.5,8.5,2.5
2022,86,22.3,16.9,5.3,5.8,8.5,2.7
2023,88,22.4,17.2,5.4,5.8,8.3,2.8
2024,90,22.3,17.4,5.5,5.8,8,2.9
2025,91,22.6,17.5,5.6,6.1,8,2.9
2026,93,22.9,18.1,5.7,6.2,8,3
2027,94,23.1,18.5,5.8,6.4,7.8,3
2028,96,23.6,18.5,6,6.8,7.9,3.1
2029,97,23.6,18.6,6,6.7,7.7,3.1
2030,99,23.9,18.6,6.1,6.9,7.7,3.2
2031,101,24.2,18.6,6.1,7,7.7,3.3
2032,103,24.5,18.7,6.2,7.2,7.7,3.4
2033,105,24.7,18.8,6.2,7.3,7.7,3.6
2034,107,25,18.8,6.2,7.5,7.7,3.7
2035,110,25.3,18.9,6.3,7.6,7.7,3.8
2036,112,25.6,19,6.3,7.8,7.7,3.9
2037,115,26,19.1,6.3,7.9,7.7,4.1
2038,118,26.3,19.1,6.3,8.1,7.6,4.2
2039,121,26.6,19.2,6.3,8.2,7.6,4.4
2040,124,26.9,19.3,6.3,8.3,7.6,4.6
2041,127,27.2,19.3,6.3,8.4,7.6,4.8
2042,130,27.5,19.4,6.3,8.6,7.6,4.9
2043,133,27.8,19.5,6.3,8.7,7.6,5.1
2044,137,28.1,19.5,6.3,8.8,7.6,5.3
2045,140,28.4,19.6,6.3,8.9,7.6,5.6
2046,144,28.7,19.7,6.3,9,7.6,5.8
2047,148,29,19.8,6.3,9.1,7.6,6
2048,152,29.3,19.8,6.3,9.2,7.6,6.3
