Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Reduction to comply with discretionary cap & mand seq,Discretionary,Defense,Allowances                                                      ,Allowances,0,"-50,656","-73,675","-83,772","-90,011","-94,303","-97,636","-100,202","-102,523","-105,137","-107,572"
Reduction to comply with discretionary cap & mand seq,Mandatory,Other Spending,Allowances                                                      ,Allowances,0,-814,-819,-843,-868,-894,-919,-942,-967,-1,0
"Family housing construction, Navy and Marine Corps",Discretionary,Defense,Department of Defense,Family Housing,41,60,76,98,99,103,105,107,109,112,114
"Family housing operation and maintenance, Navy and Marine Corps",Discretionary,Defense,Department of Defense,Family Housing,299,300,301,307,314,321,328,336,343,351,359
"Medicare-Eligible retiree health fund contribution, Navy        ",Discretionary,Defense,Department of Defense,Military Personnel,"1,466","1,550","1,631","1,717","1,807","1,902","2,002","2,107","2,217","2,334","2,456"
"Medicare-Eligible retiree health fund contribution, Marine Corps",Discretionary,Defense,Department of Defense,Military Personnel,831,860,905,953,"1,003","1,055","1,111","1,169","1,230","1,295","1,363"
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense,Military Personnel,131,137,144,152,160,168,177,186,196,207,217
"Medicare-Eligible retiree health fund contribution, reserve pers",Discretionary,Defense,Department of Defense,Military Personnel,74,77,81,86,90,95,100,105,111,117,123
"Military personnel, Marine Corps",Discretionary,Defense,Department of Defense,Military Personnel,"13,379","13,892","14,321","14,744","15,162","15,582","16,004","16,435","16,875","17,341","17,806"
"Operation and maintenance, Marine Corps",Discretionary,Defense,Department of Defense,Operation and Maintenance,"7,547","7,706","7,962","8,183","8,395","8,616","8,842","9,069","9,299","9,542","9,788"
"Operation and maintenance, Marine Corps",Mandatory,Other Spending,Department of Defense,Operation and Maintenance,1,1,1,1,0,0,0,0,0,0,0
"Operation and maintenance, Marine Corps Reserve",Discretionary,Defense,Department of Defense,Operation and Maintenance,265,268,273,280,286,293,299,305,312,320,327
"Reserve personnel, Marine Corps",Discretionary,Defense,Department of Defense,Military Personnel,772,801,825,850,874,899,923,948,975,"1,001","1,029"
"Procurement, Marine Corps",Discretionary,Defense,Department of Defense,Procurement,"1,751","2,292","2,608","2,782","2,867","2,931","2,994","3,057","3,119","3,184","3,249"
"Procurement, Marine Corps",Mandatory,Other Spending,Department of Defense,Procurement,10,10,10,10,5,1,0,0,0,0,0
"Military construction, Navy and Marine Corps                    ",Discretionary,Defense,Department of Defense,Military Construction,"1,593","1,867","2,203","2,410","2,533","2,572","2,635","2,684","2,737","2,794","2,852"
"Military Construction, Navy Reserve                             ",Discretionary,Defense,Department of Defense,Military Construction,50,51,51,49,46,46,45,46,47,48,49
"Research, Development, Test and Evaluation, Navy                ",Discretionary,Defense,Department of Defense,"Research, Development, Test, and Evaluation","17,940","18,486","18,989","19,516","20,005","20,637","21,166","21,702","22,242","22,806","23,384"
"Research, Development, Test and Evaluation, Navy                ",Mandatory,Other Spending,Department of Defense,"Research, Development, Test, and Evaluation",134,74,40,24,24,0,0,0,0,0,0
"Reserve personnel, Navy",Discretionary,Defense,Department of Defense,Military Personnel,"2,014","2,086","2,151","2,214","2,278","2,342","2,405","2,469","2,537","2,606","2,677"
"Military personnel, Navy",Discretionary,Defense,Department of Defense,Military Personnel,"30,226","31,368","32,315","33,253","34,181","35,118","36,055","37,011","37,986","39,021","40,050"
"Aircraft procurement, Navy",Discretionary,Defense,Department of Defense,Procurement,"17,355","18,719","19,746","20,109","20,622","21,164","21,594","22,063","22,516","22,976","23,448"
"Aircraft procurement, Navy",Mandatory,Other Spending,Department of Defense,Procurement,10,10,10,10,5,2,0,0,0,0,0
"Weapons procurement, Navy",Discretionary,Defense,Department of Defense,Procurement,"3,408","3,544","3,618","3,668","3,722","3,784","3,859","3,939","4,019","4,101","4,186"
"Procurement of ammunition, Navy and Marine Corps",Discretionary,Defense,Department of Defense,Procurement,913,"1,023","1,114","1,171","1,213","1,245","1,267","1,294","1,320","1,347","1,375"
"Shipbuilding and conversion, Navy",Discretionary,Defense,Department of Defense,Procurement,"18,307","20,365","22,503","24,200","24,813","25,336","25,892","26,338","26,878","26,917","27,447"
National Sea-Based Deterrence Fund                              ,Discretionary,Defense,Department of Defense,Procurement,208,181,152,65,0,0,0,0,0,0,0
"Operation and maintenance, Navy",Discretionary,Defense,Department of Defense,Operation and Maintenance,"51,138","52,549","54,151","55,631","57,118","58,603","60,116","61,646","63,194","64,825","66,479"
"Operation and maintenance, Navy",Mandatory,Other Spending,Department of Defense,Operation and Maintenance,5,5,5,5,5,0,0,0,0,0,0
"Operation and maintenance, Navy Reserve",Discretionary,Defense,Department of Defense,Operation and Maintenance,"1,001","1,013","1,037","1,061","1,085","1,109","1,133","1,158","1,182","1,209","1,234"
"Other procurement, Navy",Discretionary,Defense,Department of Defense,Procurement,"7,372","8,318","8,827","9,184","9,420","9,646","9,874","10,094","10,300","10,510","10,726"
"Other procurement, Navy",Mandatory,Other Spending,Department of Defense,Procurement,10,10,10,5,3,0,0,0,0,0,0
National defense sealift fund,Discretionary,Defense,Department of Defense,Revolving and Management Funds,20,0,0,0,0,0,0,0,0,0,0
